packet_index,timestamp,frame_length,ethernet_src,ethernet_dst,src_ip,dst_ip,protocol,ttl,src_port,dst_port,summary
1,2026-02-24T16:00:01+08:00,671,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41001,443,synthetic TCP packet 93.184.216.10:41001 > 93.184.216.11:443
2,2026-02-24T16:00:02+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41002,443,synthetic TCP packet 93.184.216.10:41002 > 93.184.216.11:443
3,2026-02-24T16:00:03+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41003,443,synthetic TCP packet 93.184.216.10:41003 > 93.184.216.11:443
4,2026-02-24T16:00:04+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41004,443,synthetic TCP packet 93.184.216.10:41004 > 93.184.216.11:443
5,2026-02-24T16:00:05+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41005,443,synthetic TCP packet 93.184.216.10:41005 > 93.184.216.11:443
6,2026-02-24T16:00:06+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41006,443,synthetic TCP packet 93.184.216.10:41006 > 93.184.216.11:443
7,2026-02-24T16:00:07+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41007,443,synthetic TCP packet 93.184.216.10:41007 > 93.184.216.11:443
8,2026-02-24T16:00:08+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41008,443,synthetic TCP packet 93.184.216.10:41008 > 93.184.216.11:443
9,2026-02-24T16:00:09+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41009,443,synthetic TCP packet 93.184.216.10:41009 > 93.184.216.11:443
10,2026-02-24T16:00:10+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41010,443,synthetic TCP packet 93.184.216.10:41010 > 93.184.216.11:443
11,2026-02-24T16:00:11+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41011,443,synthetic TCP packet 93.184.216.10:41011 > 93.184.216.11:443
12,2026-02-24T16:00:12+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41012,443,synthetic TCP packet 93.184.216.10:41012 > 93.184.216.11:443
13,2026-02-24T16:00:13+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41013,443,synthetic TCP packet 93.184.216.10:41013 > 93.184.216.11:443
