src_ip,dst_ip,protocol,packets,bytes
93.184.216.10,93.184.216.11,TCP,186,110362
93.184.216.11,93.184.216.10,TCP,149,39703
93.184.216.12,93.184.216.10,TCP,260,33592
93.184.216.10,93.184.216.12,TCP,191,21501
93.184.216.10,93.184.216.13,TCP,18,10503
93.184.216.14,93.184.216.10,TCP,32,9174
93.184.216.10,93.184.216.14,TCP,27,7314
93.184.216.13,93.184.216.10,TCP,23,3803
93.184.216.10,93.184.216.15,TCP,7,3799
93.184.216.10,93.184.216.16,TCP,3,1639
93.184.216.10,93.184.216.17,TCP,5,1357
93.184.216.15,93.184.216.10,TCP,8,1343
93.184.216.16,93.184.216.10,TCP,2,1150
93.184.216.10,93.184.216.18,TCP,5,1094
93.184.216.17,93.184.216.10,TCP,6,1067
93.184.216.18,93.184.216.10,TCP,4,741
93.184.216.19,93.184.216.10,UDP,4,534
93.184.216.10,93.184.216.20,TCP,6,240
93.184.216.10,93.184.216.19,UDP,4,239
93.184.216.21,93.184.216.10,TCP,4,227
93.184.216.22,93.184.216.10,TCP,4,208
93.184.216.23,93.184.216.10,TCP,3,158
93.184.216.10,93.184.216.21,TCP,2,155
93.184.216.10,93.184.216.23,TCP,3,151
93.184.216.24,93.184.216.10,TCP,2,104
93.184.216.25,93.184.216.10,TCP,2,104
93.184.216.26,93.184.216.10,TCP,2,104
93.184.216.27,93.184.216.10,TCP,2,104
93.184.216.10,93.184.216.25,TCP,2,82
93.184.216.10,93.184.216.26,TCP,2,82
93.184.216.10,93.184.216.27,TCP,2,82
93.184.216.28,93.184.216.10,TCP,1,52
93.184.216.29,93.184.216.10,TCP,1,52
93.184.216.30,93.184.216.10,TCP,1,52
93.184.216.31,93.184.216.10,TCP,1,52
93.184.216.32,93.184.216.10,TCP,1,52
93.184.216.33,93.184.216.10,TCP,1,52
93.184.216.34,93.184.216.10,TCP,1,52
93.184.216.35,93.184.216.10,TCP,1,52
93.184.216.36,93.184.216.10,TCP,1,52
93.184.216.37,93.184.216.10,TCP,1,52
93.184.216.10,93.184.216.28,TCP,1,41
93.184.216.10,93.184.216.29,TCP,1,41
93.184.216.10,93.184.216.30,TCP,1,41
93.184.216.10,93.184.216.31,TCP,1,41
93.184.216.10,93.184.216.22,TCP,1,41
93.184.216.10,93.184.216.32,TCP,1,41
93.184.216.10,93.184.216.33,TCP,1,41
93.184.216.10,93.184.216.34,TCP,1,41
93.184.216.10,93.184.216.35,TCP,1,41
93.184.216.10,93.184.216.36,TCP,1,41
93.184.216.10,93.184.216.37,TCP,1,41
93.184.216.10,93.184.216.38,TCP,1,41
93.184.216.39,93.184.216.10,TCP,1,40
93.184.216.40,93.184.216.10,TCP,1,40
93.184.216.41,93.184.216.10,TCP,1,40
93.184.216.42,93.184.216.10,TCP,1,40
93.184.216.43,93.184.216.10,TCP,1,40
93.184.216.44,93.184.216.10,TCP,1,40
93.184.216.45,93.184.216.10,TCP,1,40
93.184.216.20,93.184.216.10,TCP,1,40
