packet_index,timestamp,frame_length,ethernet_src,ethernet_dst,version,header_length,dscp_ecn,total_length,identification,flags,fragment_offset,ttl,protocol,header_checksum,src_ip,dst_ip,src_port,dst_port,payload_length
1,2026-02-22T16:00:00.037000+08:00,671,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,657,1001,DF,0,128,TCP,0x88f7,93.184.216.10,93.184.216.11,41001,443,637
2,2026-02-22T16:00:00.074000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1002,DF,0,128,TCP,0x8936,93.184.216.10,93.184.216.11,41002,443,573
3,2026-02-22T16:00:00.111000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1003,DF,0,128,TCP,0x8935,93.184.216.10,93.184.216.11,41003,443,573
4,2026-02-22T16:00:00.148000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1004,DF,0,128,TCP,0x8934,93.184.216.10,93.184.216.11,41004,443,573
5,2026-02-22T16:00:00.185000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1005,DF,0,128,TCP,0x8933,93.184.216.10,93.184.216.11,41005,443,573
6,2026-02-22T16:00:00.222000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1006,DF,0,128,TCP,0x8932,93.184.216.10,93.184.216.11,41006,443,573
7,2026-02-22T16:00:00.259000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1007,DF,0,128,TCP,0x8931,93.184.216.10,93.184.216.11,41007,443,573
8,2026-02-22T16:00:00.296000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1008,DF,0,128,TCP,0x8930,93.184.216.10,93.184.216.11,41008,443,573
9,2026-02-22T16:00:00.333000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1009,DF,0,128,TCP,0x892f,93.184.216.10,93.184.216.11,41009,443,573
10,2026-02-22T16:00:00.370000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1010,DF,0,128,TCP,0x892e,93.184.216.10,93.184.216.11,41010,443,573
11,2026-02-22T16:00:00.407000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1011,DF,0,128,TCP,0x892d,93.184.216.10,93.184.216.11,41011,443,573
12,2026-02-22T16:00:00.444000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1012,DF,0,128,TCP,0x892c,93.184.216.10,93.184.216.11,41012,443,573
13,2026-02-22T16:00:00.481000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1013,DF,0,128,TCP,0x892b,93.184.216.10,93.184.216.11,41013,443,573
14,2026-02-22T16:00:00.518000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1014,DF,0,128,TCP,0x892a,93.184.216.10,93.184.216.11,41014,443,573
15,2026-02-22T16:00:00.555000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1015,DF,0,128,TCP,0x8929,93.184.216.10,93.184.216.11,41015,443,573
16,2026-02-22T16:00:00.592000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1016,DF,0,128,TCP,0x8928,93.184.216.10,93.184.216.11,41016,443,573
17,2026-02-22T16:00:00.629000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1017,DF,0,128,TCP,0x8927,93.184.216.10,93.184.216.11,41017,443,573
18,2026-02-22T16:00:00.666000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1018,DF,0,128,TCP,0x8926,93.184.216.10,93.184.216.11,41018,443,573
19,2026-02-22T16:00:00.703000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1019,DF,0,128,TCP,0x8925,93.184.216.10,93.184.216.11,41019,443,573
20,2026-02-22T16:00:00.740000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1020,DF,0,128,TCP,0x8924,93.184.216.10,93.184.216.11,41020,443,573
21,2026-02-22T16:00:00.777000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1021,DF,0,128,TCP,0x8923,93.184.216.10,93.184.216.11,41021,443,573
22,2026-02-22T16:00:00.814000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1022,DF,0,128,TCP,0x8922,93.184.216.10,93.184.216.11,41022,443,573
23,2026-02-22T16:00:00.851000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1023,DF,0,128,TCP,0x8921,93.184.216.10,93.184.216.11,41023,443,573
24,2026-02-22T16:00:00.888000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1024,DF,0,128,TCP,0x8920,93.184.216.10,93.184.216.11,41024,443,573
25,2026-02-22T16:00:00.925000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1025,DF,0,128,TCP,0x891f,93.184.216.10,93.184.216.11,41025,443,573
26,2026-02-22T16:00:00.962000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1026,DF,0,128,TCP,0x891e,93.184.216.10,93.184.216.11,41026,443,573
27,2026-02-22T16:00:00.999000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1027,DF,0,128,TCP,0x891d,93.184.216.10,93.184.216.11,41027,443,573
28,2026-02-22T16:00:01.036000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1028,DF,0,128,TCP,0x891c,93.184.216.10,93.184.216.11,41028,443,573
29,2026-02-22T16:00:01.073000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1029,DF,0,128,TCP,0x891b,93.184.216.10,93.184.216.11,41029,443,573
30,2026-02-22T16:00:01.110000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1030,DF,0,128,TCP,0x891a,93.184.216.10,93.184.216.11,41030,443,573
31,2026-02-22T16:00:01.147000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1031,DF,0,128,TCP,0x8919,93.184.216.10,93.184.216.11,41031,443,573
32,2026-02-22T16:00:01.184000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1032,DF,0,128,TCP,0x8918,93.184.216.10,93.184.216.11,41032,443,573
33,2026-02-22T16:00:01.221000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1033,DF,0,128,TCP,0x8917,93.184.216.10,93.184.216.11,41033,443,573
34,2026-02-22T16:00:01.258000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1034,DF,0,128,TCP,0x8916,93.184.216.10,93.184.216.11,41034,443,573
35,2026-02-22T16:00:01.295000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1035,DF,0,128,TCP,0x8915,93.184.216.10,93.184.216.11,41035,443,573
36,2026-02-22T16:00:01.332000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1036,DF,0,128,TCP,0x8914,93.184.216.10,93.184.216.11,41036,443,573
37,2026-02-22T16:00:01.369000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1037,DF,0,128,TCP,0x8913,93.184.216.10,93.184.216.11,41037,443,573
38,2026-02-22T16:00:01.406000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1038,DF,0,128,TCP,0x8912,93.184.216.10,93.184.216.11,41038,443,573
39,2026-02-22T16:00:01.443000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1039,DF,0,128,TCP,0x8911,93.184.216.10,93.184.216.11,41039,443,573
40,2026-02-22T16:00:01.480000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1040,DF,0,128,TCP,0x8910,93.184.216.10,93.184.216.11,41040,443,573
41,2026-02-22T16:00:01.517000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1041,DF,0,128,TCP,0x890f,93.184.216.10,93.184.216.11,41041,443,573
42,2026-02-22T16:00:01.554000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1042,DF,0,128,TCP,0x890e,93.184.216.10,93.184.216.11,41042,443,573
43,2026-02-22T16:00:01.591000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1043,DF,0,128,TCP,0x890d,93.184.216.10,93.184.216.11,41043,443,573
44,2026-02-22T16:00:01.628000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1044,DF,0,128,TCP,0x890c,93.184.216.10,93.184.216.11,41044,443,573
45,2026-02-22T16:00:01.665000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1045,DF,0,128,TCP,0x890b,93.184.216.10,93.184.216.11,41045,443,573
46,2026-02-22T16:00:01.702000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1046,DF,0,128,TCP,0x890a,93.184.216.10,93.184.216.11,41046,443,573
47,2026-02-22T16:00:01.739000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1047,DF,0,128,TCP,0x8909,93.184.216.10,93.184.216.11,41047,443,573
48,2026-02-22T16:00:01.776000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1048,DF,0,128,TCP,0x8908,93.184.216.10,93.184.216.11,41048,443,573
49,2026-02-22T16:00:01.813000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1049,DF,0,128,TCP,0x8907,93.184.216.10,93.184.216.11,41049,443,573
50,2026-02-22T16:00:01.850000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1050,DF,0,128,TCP,0x8906,93.184.216.10,93.184.216.11,41050,443,573
51,2026-02-22T16:00:01.887000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1051,DF,0,128,TCP,0x8905,93.184.216.10,93.184.216.11,41051,443,573
